Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
80,85.55,CELLxGENE:452f8dfe-52f1-4990-a73a-7117422a5934,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d0147eb9-0d7d-4cb8-9049-0f7e9ad45c1c.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
81,85.55,CELLxGENE:3add6c93-7e8c-4f7a-8056-3354ae777757,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9de9aa3b-fbec-479d-ae0f-2cc81240cc6b.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
82,85.55,CELLxGENE:339756db-b41f-4abd-b520-125e62e1389f,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a47c677d-aa97-45e8-a398-70ebe280d3be.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
83,85.55,CELLxGENE:2d8cb370-c23f-4ac3-bfb7-73c13838d741,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/8c6c6210-225c-4e16-8265-766ea025487d.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
84,85.55,CELLxGENE:2179a9b4-be5e-4e28-b1cd-cd3e07e19271,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6c691525-834c-4de7-b00b-ca8af1990996.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
85,85.55,CELLxGENE:2104fbb8-8ce3-4740-8b6a-bcbb46a13c0f,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6259e676-7b44-44e1-89a5-70ee86baf4a5.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
86,85.55,CELLxGENE:1df5fa02-4a6e-4b00-a203-cb0a60e75637,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart right ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a56df793-e3aa-4971-b171-37962c96f5ef.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
87,85.55,CELLxGENE:1b0f8473-f847-4e41-be8b-4dc861860650,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f7f286e9-c062-4f82-bd2a-1ace5e1f2767.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
88,85.55,CELLxGENE:1863bbe2-9c01-48a3-a58e-e2b77b71d6ca,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/98375197-56dd-4b9d-82d4-3e631cf85a38.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
89,85.55,CELLxGENE:1368fad2-916d-4ec0-a367-e750d0ab979e,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/cc56d9bc-4dfe-4859-a866-c8f37fb40a7c.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
90,85.55,CELLxGENE:0fe4d909-b1d9-471a-bb5d-ccc0b5a8374e,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/e7b24cd2-a4c2-4e6a-a7c8-e287003473e9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
91,85.55,CELLxGENE:06379c09-d4cf-4c6f-8299-e0bc8879dbdf,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/aab496a3-19a0-4a42-8629-513da15324ed.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
92,85.55,CELLxGENE:04a0a043-1d65-489a-b203-7908780cc922,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d3ab9a0e-72c3-49d6-9966-929bd1ab16c9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
93,85.55,CELLxGENE:0491b0c6-4d09-45bf-b5ca-42088632c15c,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/1e4b5510-3407-4433-9434-7561d4ffde3f.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
94,83.55,CELLxGENE:abd889c6-f60a-4fbd-924e-ee1e9dcf909b,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,enteroendocrine cell | matched labels: enteroendocrine cell; inhibitory motor neuron; interneuron; motor neuron; neuroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9f2c8edb-7b88-42b1-b2f4-32ed4792d972.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
95,83.28,CELLxGENE:f89af62b-4059-4fb9-8bc0-e8e189c4c340,Spatially organized multicellular immune hubs in human colorectal cancer,2025,10.1016/j.cell.2021.08.003,CELLxGENE Discover,Homo sapiens,colorectum,colon adenocarcinoma; normal,spatial transcriptomics,15438,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/3e97852a-0caf-4e9b-9355-9d5f408b4fcb.h5ad ; collection: https://cellxgene.cziscience.com/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585,https://cellxgene.cziscience.com/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
96,82.13,CELLxGENE:cbec7853-d996-4493-bbf8-5d82857a4e51,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,2024,10.1016/j.cell.2023.11.026,CELLxGENE Discover,Homo sapiens,ascending colon; caecum; caecum epithelium; caecum lamina propria; colonic epithelium; descending colon; duodenum; ileum; jejunum; lamina propria of mucosa of colon; large intestine; rectum; sigmoid colon; small intestine; transverse colon; transverse colon epithelium; transverse colon lamina propria; vermiform appendix,normal,scRNA-seq,263275,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0add1772-6d6e-43e1-8702-93fdf84e4dbc.h5ad ; collection: https://cellxgene.cziscience.com/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc,https://cellxgene.cziscience.com/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
97,81.56,CELLxGENE:20de8570-f01a-4016-9e0d-7e2bfb43932a,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,2025,10.1101/2024.10.23.619925,CELLxGENE Discover,Homo sapiens,prostate gland,prostatic acinar adenocarcinoma,scRNA-seq,1096,Schwann cell | matched labels: glial cell; myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/8b3fc760-f3fd-4723-a768-9323ac12a0bd.h5ad ; collection: https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
